	series_id	seasonal	category_code	subcategory_code	item_code	demographics_code	characteristics_code	process_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
1	CXU001000LB0102M              	U	ADDENDA	CHGASLI	1000	LB01	02	M	Purchase price of stocks, bonds or mutual funds by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
2	CXU001000LB0103M              	U	ADDENDA	CHGASLI	1000	LB01	03	M	Purchase price of stocks, bonds or mutual funds by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
3	CXU001000LB0104M              	U	ADDENDA	CHGASLI	1000	LB01	04	M	Purchase price of stocks, bonds or mutual funds by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
4	CXU001000LB0105M              	U	ADDENDA	CHGASLI	1000	LB01	05	M	Purchase price of stocks, bonds or mutual funds by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
5	CXU001000LB0106M              	U	ADDENDA	CHGASLI	1000	LB01	06	M	Purchase price of stocks, bonds or mutual funds by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
126	CXU001010LB0102M              	U	ADDENDA	CHGASLI	1010	LB01	02	M	Sale price of stocks, bonds, and mutual funds, net by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
127	CXU001010LB0103M              	U	ADDENDA	CHGASLI	1010	LB01	03	M	Sale price of stocks, bonds, and mutual funds, net by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
128	CXU001010LB0104M              	U	ADDENDA	CHGASLI	1010	LB01	04	M	Sale price of stocks, bonds, and mutual funds, net by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
129	CXU001010LB0105M              	U	ADDENDA	CHGASLI	1010	LB01	05	M	Sale price of stocks, bonds, and mutual funds, net by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
130	CXU001010LB0106M              	U	ADDENDA	CHGASLI	1010	LB01	06	M	Sale price of stocks, bonds, and mutual funds, net by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
251	CXU001210LB0102M              	U	ADDENDA	CHGASLI	1210	LB01	02	M	Investments to farm or business by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
252	CXU001210LB0103M              	U	ADDENDA	CHGASLI	1210	LB01	03	M	Investments to farm or business by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
253	CXU001210LB0104M              	U	ADDENDA	CHGASLI	1210	LB01	04	M	Investments to farm or business by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
254	CXU001210LB0105M              	U	ADDENDA	CHGASLI	1210	LB01	05	M	Investments to farm or business by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2013	A01
255	CXU001210LB0106M              	U	ADDENDA	CHGASLI	1210	LB01	06	M	Investments to farm or business by Income Quintiles: Highest 20 percent income quintile		2010	A01	2013	A01
376	CXU001220LB0102M              	U	ADDENDA	CHGASLI	1220	LB01	02	M	Assets taken from farm or business by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2013	A01
377	CXU001220LB0103M              	U	ADDENDA	CHGASLI	1220	LB01	03	M	Assets taken from farm or business by Income Quintiles: Second 20 percent income quintile		2010	A01	2013	A01
378	CXU001220LB0104M              	U	ADDENDA	CHGASLI	1220	LB01	04	M	Assets taken from farm or business by Income Quintiles: Third 20 percent income quintile		2010	A01	2013	A01
