ID	level	Expenditure cateogories with spaces           	Expenditure cateogories	check_name	series_id_cx_all_consumer_units	series_id_cu	series_title
0	0	Average annual expenditures                        	Average annual expenditures	Average annual expenditures	CXUTOTALEXPLB0101Mc		
1	1	   Food                                            	Food	Food	CXUFOODTOTLLB0101M	CUSR0000SAF1	Food in U.S. city average, all urban consumers, seasonally adjusted
2	2	      Food at home                                 	Food at home	Food at home	CXUFOODHOMELB0101M	CUSR0000SAF11	Food at home in U.S. city average, all urban consumers, seasonally adjusted
3	3	         Cereals and bakery products               	Cereals and bakery products	Cereals and bakery products	CXUCERBAKRYLB0101M	CUSR0000SAF111	Cereals and bakery products in U.S. city average, all urban consumers, seasonally adjusted
4	4	            Cereals and cereal products            	Cereals and cereal products	Cereals and cereal products	CXUCEREALLB0101M	CUSR0000SEFA	Cereals and cereal products in U.S. city average, all urban consumers, seasonally adjusted
5	4	            Bakery products                        	Bakery products	Bakery products	CXUBAKERYLB0101M	CUSR0000SEFB	Bakery products in U.S. city average, all urban consumers, seasonally adjusted
6	3	         Meats, poultry, fish, and eggs            	Meats, poultry, fish, and eggs	Meats, poultry, fish, and eggs	CXUANIMALLB0101M	CUSR0000SAF112	Meats, poultry, fish, and eggs in U.S. city average, all urban consumers, seasonally adjusted
7	4	            Beef                                   	Beef	Beef	CXUBEEFLB0101M		
8	4	            Pork                                   	Pork	Pork	CXUPORKLB0101M	CUSR0000SEFD	Pork in U.S. city average, all urban consumers, seasonally adjusted
9	4	            Other meats                            	Other meats	Other meats	CXUOTHRMEATLB0101M	CUSR0000SEFE	Other meats in U.S. city average, all urban consumers, seasonally adjusted
10	4	            Poultry                                	Poultry	Poultry	CXUPOULTRYLB0101M	CUSR0000SEFF	Poultry in U.S. city average, all urban consumers, seasonally adjusted
11	4	            Fish and seafood                       	Fish and seafood	Fish and seafood	CXUFISHSEALB0101M	CUSR0000SEFG	Fish and seafood in U.S. city average, all urban consumers, seasonally adjusted
12	4	            Eggs                                   	Eggs	Eggs	CXU080110LB0101M	CUSR0000SEFH	Eggs in U.S. city average, all urban consumers, seasonally adjusted
13	3	         Dairy products                            	Dairy products	Dairy products	CXUDAIRYLB0101M		
14	4	            Fresh milk and cream                   	Fresh milk and cream	Fresh milk and cream	CXUMILKCRMLB0101M		
15	4	            Other dairy products                   	Other dairy products	Other dairy products	CXUOTHDAIRYLB0101M		
16	3	         Fruits and vegetables                     	Fruits and vegetables	Fruits and vegetables	CXUFRUITVEGLB0101M	CUSR0000SAF113	Fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted
17	4	            Fresh fruits                           	Fresh fruits	Fresh fruits	CXUFRSHFRUTLB0101M	CUSR0000SEFK	Fresh fruits in U.S. city average, all urban consumers, seasonally adjusted
18	4	            Fresh vegetables                       	Fresh vegetables	Fresh vegetables	CXUFRESHVEGLB0101M	CUSR0000SEFL	Fresh vegetables in U.S. city average, all urban consumers, seasonally adjusted
19	4	            Processed fruits                       	Processed fruits	Processed fruits	CXUPROCFRUTLB0101M		
20	4	            Processed vegetables                   	Processed vegetables	Processed vegetables	CXUPROCVEGLB0101M		
21	3	         Other food at home                        	Other food at home	Other food at home	CXUOTHRFOODLB0101M	CUSR0000SAF115	Other food at home in U.S. city average, all urban consumers, seasonally adjusted
22	4	            Sugar and other sweets                 	Sugar and other sweets	Sugar and other sweets	CXUSWEETSLB0101M		
23	4	            Fats and oils                          	Fats and oils	Fats and oils	CXUFATSOILSLB0101M	CUSR0000SEFS	Fats and oils in U.S. city average, all urban consumers, seasonally adjusted
24	4	            Miscellaneous foods                    	Miscellaneous foods	Miscellaneous foods	CXUMISCFOODLB0101M		
25	4	            Nonalcoholic beverages                 	Nonalcoholic beverages	Nonalcoholic beverages	CXUNALCBEVGLB0101M		
26	3	         Food pre. by cu on out of town trips      	Food pre. by cu on out of town trips	Food prepared by consumer unit on out of town trips	CXU190904LB0101M		
27	2	      Food away from home                          	Food away from home	Food away from home	CXUFOODAWAYLB0101M	CUSR0000SEFV	Food away from home in U.S. city average, all urban consumers, seasonally adjusted
28	1	   Alcoholic beverages                             	Alcoholic beverages	Alcoholic beverages	CXUALCBEVGLB0101M	CUSR0000SAF116	Alcoholic beverages in U.S. city average, all urban consumers, seasonally adjusted
29	1	   Housing                                         	Housing	Housing	CXUHOUSINGLB0101M	CUSR0000SAH	Housing in U.S. city average, all urban consumers, seasonally adjusted
30	2	      Shelter                                      	Shelter	Shelter	CXUSHELTERLB0101M	CUSR0000SAH1	Shelter in U.S. city average, all urban consumers, seasonally adjusted
31	3	         Owned dwellings                           	Owned dwellings	Owned dwellings	CXUOWNDWELLLB0101M		
32	4	            Mortgage interest                      	Mortgage interest	Mortgage interest	CXU220311LB0101M		
33	4	            Property taxes                         	Property taxes	Property taxes	CXU220211LB0101M		
34	4	            Maint., rep., ins., other expenses     	Maint., rep., ins., other expenses	Maintenance, repairs, insurance, and other expenses by Income Quintiles: All Consumer Units	CXUOWNEXPENLB0101M		
35	3	         Rented dwellings                          	Rented dwellings	Rented dwellings	CXURNTDWELLLB0101M		
36	3	         Other lodging                             	Other lodging	Other lodging	CXUOTHLODGELB0101M		
37	2	      Utilities, fuels, and public services        	Utilities, fuels, and public services	Utilities, fuels, and public services	CXUUTILSLB0101M		
38	3	         Natural gas                               	Natural gas	Natural gas	CXUNATRLGASLB0101M		
39	3	         Electricity                               	Electricity	Electricity	CXUELECTRICLB0101M	CUSR0000SEHF01	Electricity in U.S. city average, all urban consumers, seasonally adjusted
40	3	         Fuel oil and other fuels                  	Fuel oil and other fuels	Fuel oil and other fuels	CXUOTHRFUELLB0101M	CUSR0000SEHE	Fuel oil and other fuels in U.S. city average, all urban consumers, seasonally adjusted
41	3	         Telephone                                 	Telephone	Telephone services	CXUPHONELB0101M		
42	3	         Water and other public services           	Water and other public services	Water and other public services	CXUWATERLB0101M		
43	2	      Household operations                         	Household operations	Household operations	CXUHHOPERLB0101M		
44	3	         Personal services                         	Personal services	Personal services	CXUHHPERSRVLB0101M		
45	3	         Other household expenses                  	Other household expenses	Other household expenses	CXUHHOTHXPNLB0101M		
46	2	      Housekeeping supplies                        	Housekeeping supplies	Housekeeping supplies	CXUHKPGSUPPLB0101M	CUSR0000SEHN	Housekeeping supplies in U.S. city average, all urban consumers, seasonally adjusted
