ID	level	Expenditure categories with spaces	series_category	use_1984	use_1997	check_name	series_id_cx_all_consumer_units	series_id_cu	series_title	questionable_match	comment
0	0	Average annual expenditures                        	expenditure	0	0	Average annual expenditures	CXUTOTALEXPLB0101M	CUUR0000SA0	All items in U.S. city average, all urban consumers, not seasonally adjusted		
1	1	   Food                                            	expenditure	0	0	Food	CXUFOODTOTLLB0101M	CUUR0000SAF1	Food in U.S. city average, all urban consumers, not seasonally adjusted		
2	2	      Food at home                                 	expenditure	0	0	Food at home	CXUFOODHOMELB0101M	CUUR0000SAF11	Food at home in U.S. city average, all urban consumers, not seasonally adjusted		
3	3	         Cereals and bakery products               	expenditure	0	0	Cereals and bakery products	CXUCERBAKRYLB0101M	CUUR0000SAF111	Cereals and bakery products in U.S. city average, all urban consumers, not seasonally adjusted		
4	4	            Cereals and cereal products            	expenditure	1	1	Cereals and cereal products	CXUCEREALLB0101M	CUUR0000SEFA	Cereals and cereal products in U.S. city average, all urban consumers, not seasonally adjusted		
5	4	            Bakery products                        	expenditure	1	1	Bakery products	CXUBAKERYLB0101M	CUUR0000SEFB	Bakery products in U.S. city average, all urban consumers, not seasonally adjusted		
6	3	         Meats, poultry, fish, and eggs            	expenditure	0	0	Meats, poultry, fish, and eggs	CXUANIMALLB0101M	CUUR0000SAF112	Meats, poultry, fish, and eggs in U.S. city average, all urban consumers, not seasonally adjusted		
7	4	            Beef                                   	expenditure	1	1	Beef	CXUBEEFLB0101M	CUUR0000SEFC	Beef and veal in U.S. city average, all urban consumers, not seasonally adjusted		
8	4	            Pork                                   	expenditure	1	1	Pork	CXUPORKLB0101M	CUUR0000SEFD	Pork in U.S. city average, all urban consumers, not seasonally adjusted		
9	4	            Other meats                            	expenditure	1	1	Other meats	CXUOTHRMEATLB0101M	CUUR0000SEFE	Other meats in U.S. city average, all urban consumers, not seasonally adjusted		
10	4	            Poultry                                	expenditure	1	1	Poultry	CXUPOULTRYLB0101M	CUUR0000SEFF	Poultry in U.S. city average, all urban consumers, not seasonally adjusted		
11	4	            Fish and seafood                       	expenditure	1	1	Fish and seafood	CXUFISHSEALB0101M	CUUR0000SEFG	Fish and seafood in U.S. city average, all urban consumers, not seasonally adjusted		
12	4	            Eggs                                   	expenditure	1	1	Eggs	CXU080110LB0101M	CUUR0000SEFH	Eggs in U.S. city average, all urban consumers, not seasonally adjusted		
13	3	         Dairy products                            	expenditure	1	0	Dairy products	CXUDAIRYLB0101M	CUUR0000SEFJ	Dairy and related products in U.S. city average, all urban consumers, not seasonally adjusted		
14	4	            Fresh milk and cream                   	expenditure	0	1	Fresh milk and cream	CXUMILKCRMLB0101M	CUUR0000SS09011	Fresh whole milk in U.S. city average, all urban consumers, not seasonally adjusted		
15	4	            Other dairy products                   	expenditure	0	1	Other dairy products	CXUOTHDAIRYLB0101M	CUUR0000SEFJ04	Other dairy and related products in U.S. city average, all urban consumers, not seasonally adjusted		
16	3	         Fruits and vegetables                     	expenditure	1	0	Fruits and vegetables	CXUFRUITVEGLB0101M	CUUR0000SAF113	Fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted		
17	4	            Fresh fruits                           	expenditure	0	1	Fresh fruits	CXUFRSHFRUTLB0101M	CUUR0000SEFK	Fresh fruits in U.S. city average, all urban consumers, not seasonally adjusted		
18	4	            Fresh vegetables                       	expenditure	0	1	Fresh vegetables	CXUFRESHVEGLB0101M	CUUR0000SEFL	Fresh vegetables in U.S. city average, all urban consumers, not seasonally adjusted		
19	4	            Processed fruits                       	expenditure	0	1	Processed fruits	CXUPROCFRUTLB0101M	CUUR0000SEFM	Processed fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted	1	
20	4	            Processed vegetables                   	expenditure	0	1	Processed vegetables	CXUPROCVEGLB0101M	CUUR0000SEFM	Processed fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted	1	
