ID	level	Expenditure cateogories with spaces	Expenditure cateogories	check_name	series_id_cx_all_consumer_units	series_id_cu	series_title	questionable_match	comment
0	0	Average annual expenditures                        	Average annual expenditures	Average annual expenditures	CXUTOTALEXPLB0101M	CUUR0000SA0	All items in U.S. city average, all urban consumers, not seasonally adjusted		
1	1	   Food                                            	Food	Food	CXUFOODTOTLLB0101M	CUUR0000SAF1	Food in U.S. city average, all urban consumers, not seasonally adjusted		
2	2	      Food at home                                 	Food at home	Food at home	CXUFOODHOMELB0101M	CUUR0000SAF11	Food at home in U.S. city average, all urban consumers, not seasonally adjusted		
3	3	         Cereals and bakery products               	Cereals and bakery products	Cereals and bakery products	CXUCERBAKRYLB0101M	CUUR0000SAF111	Cereals and bakery products in U.S. city average, all urban consumers, not seasonally adjusted		
4	4	            Cereals and cereal products            	Cereals and cereal products	Cereals and cereal products	CXUCEREALLB0101M	CUUR0000SEFA	Cereals and cereal products in U.S. city average, all urban consumers, not seasonally adjusted		
5	4	            Bakery products                        	Bakery products	Bakery products	CXUBAKERYLB0101M	CUUR0000SEFB	Bakery products in U.S. city average, all urban consumers, not seasonally adjusted		
6	3	         Meats, poultry, fish, and eggs            	Meats, poultry, fish, and eggs	Meats, poultry, fish, and eggs	CXUANIMALLB0101M	CUUR0000SAF112	Meats, poultry, fish, and eggs in U.S. city average, all urban consumers, not seasonally adjusted		
7	4	            Beef                                   	Beef	Beef	CXUBEEFLB0101M	CUUR0000SEFC	Beef and veal in U.S. city average, all urban consumers, not seasonally adjusted		
8	4	            Pork                                   	Pork	Pork	CXUPORKLB0101M	CUUR0000SEFD	Pork in U.S. city average, all urban consumers, not seasonally adjusted		
9	4	            Other meats                            	Other meats	Other meats	CXUOTHRMEATLB0101M	CUUR0000SEFE	Other meats in U.S. city average, all urban consumers, not seasonally adjusted		
10	4	            Poultry                                	Poultry	Poultry	CXUPOULTRYLB0101M	CUUR0000SEFF	Poultry in U.S. city average, all urban consumers, not seasonally adjusted		
11	4	            Fish and seafood                       	Fish and seafood	Fish and seafood	CXUFISHSEALB0101M	CUUR0000SEFG	Fish and seafood in U.S. city average, all urban consumers, not seasonally adjusted		
12	4	            Eggs                                   	Eggs	Eggs	CXU080110LB0101M	CUUR0000SEFH	Eggs in U.S. city average, all urban consumers, not seasonally adjusted		
13	3	         Dairy products                            	Dairy products	Dairy products	CXUDAIRYLB0101M	CUUR0000SEFJ	Dairy and related products in U.S. city average, all urban consumers, not seasonally adjusted		
14	4	            Fresh milk and cream                   	Fresh milk and cream	Fresh milk and cream	CXUMILKCRMLB0101M	CUUR0000SS09011	Fresh whole milk in U.S. city average, all urban consumers, not seasonally adjusted		
15	4	            Other dairy products                   	Other dairy products	Other dairy products	CXUOTHDAIRYLB0101M	CUUR0000SEFJ04	Other dairy and related products in U.S. city average, all urban consumers, not seasonally adjusted		
16	3	         Fruits and vegetables                     	Fruits and vegetables	Fruits and vegetables	CXUFRUITVEGLB0101M	CUUR0000SAF113	Fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted		
17	4	            Fresh fruits                           	Fresh fruits	Fresh fruits	CXUFRSHFRUTLB0101M	CUUR0000SEFK	Fresh fruits in U.S. city average, all urban consumers, not seasonally adjusted		
18	4	            Fresh vegetables                       	Fresh vegetables	Fresh vegetables	CXUFRESHVEGLB0101M	CUUR0000SEFL	Fresh vegetables in U.S. city average, all urban consumers, not seasonally adjusted		
19	4	            Processed fruits                       	Processed fruits	Processed fruits	CXUPROCFRUTLB0101M	CUUR0000SEFM	Processed fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted	1	
20	4	            Processed vegetables                   	Processed vegetables	Processed vegetables	CXUPROCVEGLB0101M	CUUR0000SEFM	Processed fruits and vegetables in U.S. city average, all urban consumers, not seasonally adjusted	1	
21	3	         Other food at home                        	Other food at home	Other food at home	CXUOTHRFOODLB0101M	CUUR0000SAF115	Other food at home in U.S. city average, all urban consumers, not seasonally adjusted		
22	4	            Sugar and other sweets                 	Sugar and other sweets	Sugar and other sweets	CXUSWEETSLB0101M	CUUR0000SEFR	Sugar and sweets in U.S. city average, all urban consumers, not seasonally adjusted		
23	4	            Fats and oils                          	Fats and oils	Fats and oils	CXUFATSOILSLB0101M	CUUR0000SEFS	Fats and oils in U.S. city average, all urban consumers, not seasonally adjusted		
24	4	            Miscellaneous foods                    	Miscellaneous foods	Miscellaneous foods	CXUMISCFOODLB0101M	CUUR0000SEFT06	Other miscellaneous foods in U.S. city average, all urban consumers, not seasonally adjusted		
25	4	            Nonalcoholic beverages                 	Nonalcoholic beverages	Nonalcoholic beverages	CXUNALCBEVGLB0101M	CUUR0000SAF114	Nonalcoholic beverages and beverage materials in U.S. city average, all urban consumers, not seasonally adjusted		
26	3	         Food pre. by cu on out of town trips      	Food pre. by cu on out of town trips	Food prepared by consumer unit on out of town trips	CXU190904LB0101M	CUUR0000SAF11	Food at home in U.S. city average, all urban consumers, not seasonally adjusted		
