Table 1. Quintiles of income before taxes: Average annual expenditures and characteristics, Consumer Expenditure Survey, 1996
____________________________________________________________________________________________________________________________________________________________________________________
                                                            |              |                                                                                         |              
                                                            |              |                             Complete reporting of income 1/                             |              
                                                            | All consumer |_________________________________________________________________________________________|  Incomplete  
                            Item                            |     units    |              |              |              |              |              |              | reporting of 
                                                            |              |Total complete|   Lowest 20  |   Second 20  |   Third 20   |   Fourth 20  |  Highest 20  |    income    
                                                            |              |   reporting  |    percent   |    percent   |    percent   |    percent   |    percent   |              
____________________________________________________________|______________|______________|______________|______________|______________|______________|______________|______________
                                                            |              |              |              |              |              |              |              |              
Number of consumer units (in thousands).....................|       104,212|        82,629|        16,491|        16,525|        16,520|        16,534|        16,559|        21,583
Lower limit.................................................|            $0|            $0|            $0|       $11,311|       $21,581|       $36,020|       $58,367|            $0
Income before taxes 1/......................................|       $38,014|       $38,014|        $6,542|       $16,204|       $28,321|       $46,296|       $92,523|            $0
Income after taxes 1/.......................................|        34,864|        34,864|         6,365|        15,796|        26,544|        42,447|        83,003|             0
Age of reference person.....................................|          47.7|          47.9|          50.7|          52.3|          47.1|          44.2|          45.0|          47.1
Average number in consumer unit:                            |              |              |              |              |              |              |              |              
 Persons....................................................|           2.5|           2.5|           1.8|           2.3|           2.6|           2.9|           3.1|           2.6
 Children under 18..........................................|           0.7|           0.7|           0.4|           0.6|           0.7|           0.8|           0.9|           0.7
 Persons 65 and over........................................|           0.3|           0.3|           0.4|           0.6|           0.3|           0.2|           0.1|           0.3
 Earners....................................................|           1.3|           1.4|           0.6|           0.9|           1.3|           1.8|           2.1|           1.3
 Vehicles...................................................|           1.9|           1.9|           1.0|           1.5|           2.0|           2.5|           2.8|           1.7
Percent distribution:                                       |              |              |              |              |              |              |              |              
 Male.......................................................|            60|            60|            38|            52|            62|            71|            78|            60
 Female.....................................................|            40|            40|            62|            48|            38|            29|            22|            40
 Percent homeowner..........................................|            64|            64|            40|            57|            60|            74|            86|            64
  With mortgage.............................................|            38|            38|            11|            20|            33|            55|            71|            37
  Without mortgage..........................................|            26|            26|            29|            36|            28|            20|            16|            27
 Renter.....................................................|            36|            36|            60|            43|            40|            26|            14|            36
 Black......................................................|            12|            11|            18|            13|            11|             9|             6|            13
 White and other............................................|            88|            89|            82|            87|            89|            91|            94|            87
 Elementary (1-8)...........................................|             8|             8|            17|            13|             7|             4|             1|             7
 High school (9-12).........................................|            41|            40|            47|            49|            44|            38|            23|            46
 College....................................................|            50|            51|            35|            38|            49|            59|            76|            47
 Never attended and other...................................|             0|             0|             1|             0|             0|             0|             0|             0
 At least one vehicle owned.................................|            85|            86|            62|            84|            92|            95|            96|            80
Average annual expenditures.................................|       $33,797|       $35,591|       $15,896|       $22,799|       $30,402|       $41,965|       $66,794|       $27,167
 Food.......................................................|         4,698|         4,913|         2,665|         3,702|         4,520|         5,782|         7,890|         3,964
  Food at home..............................................|         2,876|         2,999|         1,918|         2,525|         2,824|         3,426|         4,299|         2,457
   Cereals and bakery products..............................|           447|           467|           296|           378|           441|           536|           686|           378
    Cereals and cereal products.............................|           166|           172|           119|           145|           167|           187|           241|           144
    Bakery products.........................................|           281|           295|           177|           233|           274|           349|           445|           234
   Meats, poultry, fish, and eggs...........................|           737|           758|           522|           688|           696|           854|         1,031|           664
    Beef....................................................|           215|           220|           150|           206|           195|           259|           288|           199
    Pork....................................................|           157|           160|           114|           152|           155|           183|           198|           146
